,artist_individual,streams
14719,Вася Демчук,26884
12888,Theuns Jordaan,26921
4845,Gocata,26951
7312,Lady Zamar,26977
8480,Mars Baby,26977
11428,Salma Rachid,27039
10084,PCK 97,27152
14217,Zigfrīds Muktupāvels,27176
3559,Dudu Zakai,27242
1713,BlankCh3ck,27297
5141,Hans Nayna,27300
2812,DJ Tamix,27328
10880,Redel,27334
5733,JGKiD (Da LAB),27355
9533,Nguyễn Trọng Tài,27441
14510,noa,27455
7783,Low P,27472
6691,Katerina Lioliou,27477
1914,Bruģis,27529
1370,Bahoi,27533
799,Analog Balaton,27575
5992,Jedri,27609
6983,Kobi M,27609
2526,Cosmic Sky Lofi,27622
5565,Inner Circle,27647
14958,李靖筠,27649
3148,Demi Lee Moore,27700
7508,Lewsz,27748
1701,Blackheart,27760
2017,CAMO,27804
12967,Tisho,27819
3332,Dj Chris-Albert,27819
2237,Chamin,27819
1464,Bdo Berardo,27819
4163,FLEMING MUSIC RD,27819
9377,Naomi Shemer,27831
14073,Yung Fume,27861
8894,Mikhail Shufutinsky,27900
12354,SuperEd,27926
14309,bratishkin,27948
9522,Neverlove,27948
7139,L'ICON,27972
10022,Osnat Paz,27986
11635,Sekiwe,28002
3081,Dax,28033
10719,Radics Gigi,28052
7039,Koy,28192
11272,SEEYASIDE,28202
7197,LIL VAN,28239
5424,I61,28253
9686,Noize MC,28270
9162,Mr. Brown,28295
9948,Omri Keren,28337
6692,Katerina Stikoudi,28381
14885,ぶだれ,28381
8589,Matti Caspi,28391
6403,Justs Sirmais,28438
7910,László Csányi,28462
1935,Budapest Children's Chorus,28462
13097,Traditional,28462
5379,Hungarian State Opera Chamber Orchestra,28462
5056,HVNDS,28519
1663,Birgir Hákon,28534
12515,TRADE L,28559
13446,Vendetta,28575
4354,Flash Ikumkani,28577
5877,Jan Lamb,28582
9313,NMDbeats,28588
10767,Rajaa Belmir,28596
9930,Omar Belmir,28596
2292,Chefo,28610
5154,Harel Skaat,28621
14794,чачкалица,28623
4449,Frankie Prada,28699
14649,zukrai,28702
1320,BTOB,28741
3304,Diskoteka Avariya,28793
3959,Emily Roberts,28943
8264,Maison2500,28983
14400,good job nicky,28995
12496,TJ Miles,29042
12133,Soul Revolver,29070
11059,Robot Boii,29070
11749,Shaun MusiQ,29070
4135,F Teearse,29070
11417,Saimonsa,29168
9210,Murovei,29193
3101,De.Ville,29315
14530,plo Persici,29411
5517,Ilanit,29451
5526,Illbliss,29497
3607,Dé:Nash,29641
1989,Bëlga,29641
6936,Kiss Erzsi,29641
584,Alegz,29650
13818,Xavi Yentin,29685
2839,DMT,29714
6421,Jātnieki,29747
7109,Kwabena Kwabena,29824
12613,Taribo West,29859
3498,Dr Lamondro,29859
9741,NtoMusica,29859
14468,lixxx,29925
7027,Koresh,29925
14584,strogo,29925
14520,paradeev1ch,29925
7573,Lil Pencil,29925
7252,La Comadre,29936
4381,Flow Letal,29973
11766,Shekina Reality,29973
12607,Tapia El Sicario,29973
10132,PVRIS,29986
1295,BM,30034
6859,Kid X,30073
12444,T-Man SA,30073
7728,Los Karkik's,30146
3357,Dj Maya,30146
4514,Fuerza Azul - Cartaginés,30151
7609,Lincoln,30201
11361,SUMIN,30252
3090,Dbo,30252
760,Amir Eid,30258
5110,Hamid Al Shaeri,30261
13992,Yonyo,30282
6570,Kal Taf Band,30284
7778,LoveUBoyo,30319
2869,DVMN BOI,30373
11033,Rob Dies a Lot,30402
5091,Haiset,30402
12563,Takunda,30406
13758,William Last KRM,30406
2102,Campeon,30440
4293,Fernando Villalona,30480
7395,Lauris Reiniks,30481
14024,Young Milo,30489
13799,Wxrdie,30489
4158,FIREROSE,30498
11275,SENET,30550
5383,Huong Tram,30600
9277,NANE,30601
5152,Hard Target,30622
4160,FJ OUTLAW,30622
508,Aisha,30654
9534,Ngô Anh Đạt,30665
1772,Bogaa,30700
10514,Pranz,30700
588,Alejandro Luna,30700
4078,Estradda,30700
5985,Jean Kala,30700
14068,Yung Bans,30717
11226,Ríó tríó,30762
9298,NEXUS,30792
11806,Shlomo Gronich,30803
